,Tweet,Avg,totalwords,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,Sentiment
209,loved metallic look big fan fingerprintscanning already pastic backed touchscreen smartphone u listening,0.2,21,21,140,5.714285714285714,6,1,0,0,Positive
210,jonjonnyp danny yes anyone brian gazelle offer 350 5 still good 22nd,0.2,24,24,125,4.25,8,0,2,0,Positive
211,dont worry stock price microsoft stock price shot 7 firing 1 employee,0.2,18,18,103,4.777777777777778,5,0,1,0,Positive
212,available google play app store creativefutur app coming soon uwscreative pictwittercombgfbbqiu0v,0.2,17,17,129,6.647058823529412,5,1,0,0,Positive
213,ipodplayerpromo ipod ipad itunes promoipodplayerpromo itune,0.2,9,9,82,8.222222222222221,0,6,0,7,Positive
214,authorized repair guy told take ipad someplace else since doesnt repair ipads true,0.2,22,22,128,4.863636363636363,5,0,0,0,Positive
215,accordingtonina akemisue shastaanne case needed hope,0.2,10,10,73,6.4,1,0,0,1,Positive
216,please come black gold iphone,0.2,11,11,56,4.181818181818182,4,0,0,0,Positive
217,natz0711 mishi_za samsungsa infrastructure regulated improved government,0.2,14,14,106,6.642857142857143,5,0,0,0,Positive
218,dammit take money new 5s already brokenhomebutton,0.2,11,12,68,5.181818181818182,3,1,0,1,Positive
219,want new iphone update already ugh dying need hurryup,0.2,12,12,78,5.583333333333333,1,3,0,2,Positive
220,johnathonv never stop learning,0.2,5,5,40,7.2,0,0,0,1,Positive
221,rivals turn twitter announces new iphones httpowlyomrmn,0.2,10,10,76,6.7,2,1,0,0,Positive
222,ibrooklynb iphone 5s whitesilver,0.2,5,5,41,7.4,0,0,0,0,Positive
223,made first massmarket color digital camera takentooz fun article mashable httponmashto1bq5lp3,0.2,14,14,120,7.642857142857143,2,1,0,0,Positive
224,jenniebond1 excellent glad hear fully functioning gadgets,0.2,11,11,78,6.181818181818182,3,0,0,0,Positive
225,people believe pe ratio greater 22 twitter around 10 valuation startups ipo,0.2,23,23,124,4.434782608695652,9,3,2,2,Positive
226,dear please give iphone 7 laugh peasants 5s,0.2,20,20,94,3.75,10,0,1,1,Positive
227,dumb diss touchid developers chance develop orig iphone came b4 appstore,0.2,26,26,136,4.269230769230769,11,1,0,0,Positive
228,ipodplayerpromo ipod ipad itunes promoipodplayerpromo itune ipod generation,0.2,10,10,97,8.8,0,7,0,8,Positive
229,eltonjohn itunesfestival unreal watch live via appletv straight hd tv,0.2,13,13,85,5.615384615384615,2,2,0,2,Positive
230,guess champagne color well iphone5s iphone5c tools homeimprovement homeowners home httpowlyi38y2b,0.2,15,15,127,7.533333333333333,3,6,0,0,Positive
231,c ipodplayerpromo ipod ipad itunes promoipodplayerpromo itune,0.2,9,9,82,8.222222222222221,0,6,0,7,Positive
232,darnit lol don_1za mishi_za natz0711 samsungsa perfect time move dont seem care,0.2,19,19,118,5.2631578947368425,6,0,0,0,Positive
233,progressive fans prepare support koch brothers httpowlyopeax p2 1u uniteblue ctl libcrib ows,0.2,16,17,120,6.5,2,6,0,0,Positive
234,ios device motion imessage sender text bubbles red simple,0.2,15,15,84,4.666666666666667,4,1,0,0,Positive
235,announces iphone 5s iphone 5c ios 7 release date thoughts undefined shopbreamall,0.2,14,16,100,6.071428571428571,0,0,1,2,Positive
236,7evenstarz mikey tell us really feel,0.2,11,11,59,4.454545454545454,3,0,0,0,Positive
237,next idea nfc ipods man gotta hear song taps ipods woe song great boomheadshot,0.2,20,20,113,4.7,5,1,0,1,Positive
238,applenews guys create ishoes5s would something iphone mac applenews appleevent,0.2,18,18,121,5.777777777777778,5,6,0,0,Positive
239,thanks 4 sharpmagazine fingerprint recognition ios7 everything need know apples new iphone httpbitly14mbzlm,0.2,17,17,138,7.176470588235294,2,1,1,0,Positive
240,im interested look new lumia cc nokia potasiyam thehoneymad isfarahmad,0.2,17,18,105,5.176470588235294,6,1,0,0,Positive
241,dear please bring back option matte instead glossy macbookpro screens bring back 17 youre,0.2,24,24,135,4.666666666666667,9,0,0,0,Positive
242,tehgreenmc ghostt_gaming microsoft google anyone well apparently anyone lives london,0.2,12,12,99,7.333333333333333,1,0,0,0,Positive
243,iphone5s vs iphone5 epic battle geekhelpinghand httpbuffly187kjcd,0.2,10,10,90,8.1,0,2,0,1,Positive
244,police dept florida could use applecare assistance zimmerman,0.2,12,12,83,6.0,2,2,0,1,Positive
245,whats going youre store gonna announce new macbook pro please excited wantapple impatient,0.2,17,17,115,5.823529411764706,4,3,0,0,Positive
246,please send boydscot iphone rush delivery snap chat kthanks,0.2,17,17,94,4.588235294117647,3,0,0,1,Positive
247,aiming high end iphones classic httpdisqus8f4kw3,0.2,10,10,72,6.3,3,1,0,0,Positive
248,wayneshurts appletweets wayne thats awesome,0.2,7,7,58,7.428571428571429,0,0,0,0,Positive
249,hasnt come pie crisp yet piephone,0.2,13,13,63,3.923076923076923,6,1,0,0,Positive
250,ask phone company connect whoever providing best coverage wherever done,0.2,25,25,138,4.56,12,0,0,1,Positive
